number,name,ligand,/,staining,Repeat,length,TB/UB,,
980,QY#HG#MR1S2#R#pire#9516#18,pire,18,short,tb,,,,
981,damg;,not,digitized,,18,short,,,
982,dpdp;,not,digitized,,18,short,,,
983,spare;,in,freezer,,18,short,,,
984,spare;,in,freezer,,18,short,,,
985,spare;,in,freezer,,18,short,,,
986,spare;,in,freezer,,18,short,,,
987,spare;,in,freezer,,18,short,,,
988,spare;,in,freezer,,18,short,,,
989,spare;,in,freezer,,18,short,,,
990,spare;,in,freezer,,18,short,,,
991,lost,sectioning,,18,short,,,,
992,lost,sectioning,,18,short,,,,
993,lost,sectioning,,18,short,,,,
994,lost,sectioning,,18,short,,,,
995,lost,sectioning,,18,short,,,,
996,QY#HG#MR1s2#R#ampa#86120#19,ampa,19,short,tb,,,,
997,lost,sectioning,,19,short,,,,
998,lost,sectioning,,19,short,,,,
999,lost,sectioning,,19,short,,,,
1000,lost,sectioning,,19,short,,,,
1001,QY#HG#MR1s2#R#kain#86124#19,kain,19,short,tb,,,,
1002,QY#HG#MR1s2#R#mk80#86128#19,mk80,19,short,tb,,,,
1003,QY#HG#MR1s2#R#musc#6131#19,musc,19,short,tb,,,,
1004,QY#HG#MR1s2#R#cgp5#86188#19,cgp5,19,short,tb,,,,
1005,QY#HG#MR1s2#R#flum#6191#19,flum,19,short,tb,,,,
1006,cell,body,stain,-,section,13,AG,19,short
1007,QY#HG#MR1s2#R#oxot#6139#19,oxot,19,short,tb,,,,
1008,lost,sectioning,,19,short,,,,
1009,lost,sectioning,,19,short,,,,
1010,lost,sectioning,,19,short,,,,
1011,QY#HG#MR1s2#R#damp#86196#19,damp,19,short,tb,,,,
1012,myelin,stain,-,section,20,MS,19,short,
1013,QY#HG#MR1s2#R#epib#6167#19,epib,19,short,tb,,,,
1014,QY#HG#MR1s2#R#praz#6151#19,praz,19,short,tb,,,,
1015,QY#HG#MR1s2#R#uk14#6155#19,uk14,19,short,tb,,,,
1016,lost,sectioning,,19,short,,,,
1017,lost,sectioning,,19,short,,,,
1018,QY#HG#MR1s2#R#dpat#6144#19,dpat,19,short,tb,,,,
1019,fall;,not,digitized,,19,short,,,
1020,QY#HG#MR1s2#R#sr95#6208#19,sr95,19,short,tb,,,,
1021,lost,sectioning,,19,short,,,,
1022,QY#HG#MR1s2#R#sch2#6164#19,sch2,19,short,tb,,,,
1023,cell,body,stain,-,section,32,AG,19,short
1024,QY#HG#MR1s2#R#rx82#6159#19,rx82,19,short,tb,,,,
1025,QY#HG#MR1s2#R#afdx#86200#19,afdx,19,short,tb,,,,
1026,QY#HG#MR1s2#R#dpog#86180#19,dpog,19,short,tb,,,,
1027,myelin,stain,-,section,41,MS,19,short,
1028,QY#HG#MR1s2#R#dpmg#6184#19,dpmg,19,short,tb,,,,
1029,QY#HG#MR1s2#R#ly34#6203#19,ly34,19,short,tb,,,,
1030,spare;,in,freezer,,19,short,,,
1031,QY#HG#MR1s2#R#cpog#86172#19,cpog,19,short,tb,,,,
1032,lost,sectioning,,19,short,,,,
1033,QY#HG#MR1s2#R#cpmg#86176#19,cpmg,19,short,tb,,,,
1034,QY#HG#MR1s2#R#keta#6147#19,keta,19,short,tb,,,,
1035,QY#HG#MR1S2#R#pire#9517#19,pire,19,short,tb,,,,
1036,damg;,not,digitized,,19,short,,,
1037,dpdp;,not,digitized,,19,short,,,
1038,spare;,in,freezer,,19,short,,,
1039,spare;,in,freezer,,19,long,,,
1040,spare;,in,freezer,,19,long,,,
1041,spare;,in,freezer,,19,long,,,
1042,spare;,in,freezer,,19,long,,,
1043,spare;,in,freezer,,19,long,,,
1044,spare;,in,freezer,,19,long,,,
1045,spare;,in,freezer,,19,long,,,
1046,lost,sectioning,,19,long,,,,
1047,QY#HG#MR1s2#R#ampa#86120#20,ampa,20,long,tb,,,,
1048,lost,sectioning,,20,long,,,,
1049,lost,sectioning,,20,long,,,,
1050,ampa,(ub);,not,digitized,ampa,20,long,ub,
1051,QY#HG#MR1s2#R#kain#86124#20,kain,20,long,tb,,,,
1052,kain,(ub);,not,digitized,kain,20,long,ub,
1053,QY#HG#MR1s2#R#mk80#86128#20,mk80,20,long,tb,,,,
1054,mk80,(ub);,not,digitized,mk80,20,long,ub,
1055,QY#HG#MR1s2#R#musc#6132#20,musc,20,long,tb,,,,
1056,QY#HG#MR1s2#R#musc#6132#ub,musc,20,long,ub,,,,
1057,QY#HG#MR1s2#R#cgp5#86188#20,cgp5,20,long,tb,,,,
1058,cgp5,(ub);,not,digitized,cgp5,20,long,ub,
1059,lost,sectioning,,20,long,,,,
1060,QY#HG#MR1s2#R#flum#6191#20,flum,20,long,tb,,,,
1061,flum,(ub);,not,digitized,flum,20,long,ub,
1062,cell,body,stain,-,section,13,AG,20,long
1063,QY#HG#MR1s2#R#oxot#6140#20,oxot,20,long,tb,,,,
1064,lost,sectioning,,20,long,,,,
1065,lost,sectioning,,20,long,,,,
1066,lost,sectioning,,20,long,,,,
1067,lost,sectioning,,20,long,,,,
1068,QY#HG#MR1S2#R#oxot#6140#UB,oxot,20,long,ub,,,,
1069,QY#HG#MR1s2#R#damp#86196#20,damp,20,long,tb,,,,
1070,damp,(ub);,not,digitized,damp,20,long,ub,
1071,myelin,stain,-,section,20,MS,20,long,
1072,QY#HG#MR1s2#R#epib#6168#20,epib,20,long,tb,,,,
1073,epib,(ub);,not,digitized,epib,20,long,ub,
1074,QY#HG#MR1s2#R#praz#6151#20,praz,20,long,tb,,,,
1075,praz,(ub);,not,digitized,praz,20,long,ub,
1076,QY#HG#MR1s2#R#uk14#6156#20,uk14,20,long,tb,,,,
1077,uk14,(ub);,not,digitized,uk14,20,long,ub,
1078,fall;,not,digitized,,20,long,,,
1079,QY#HG#MR1s2#R#dpat#6144#20,dpat,20,long,tb,,,,
1080,dpat,(ub);,not,digitized,dpat,20,long,ub,
1081,lost,sectioning,,20,long,,,,
1082,QY#HG#MR1s2#R#sr95#6208#20,sr95,20,long,tb,,,,
1083,lost,sectioning,,20,long,,,,
1084,sr95,(ub);,not,digitized,sr95,20,long,ub,
1085,QY#HG#MR1s2#R#sch2#6164#20,sch2,20,long,tb,,,,
1086,cell,body,stain,-,section,32,AG,20,long
1087,sch2,(ub);,not,digitized,sch2,20,long,ub,
1088,lost,sectioning,,20,long,,,,
1089,lost,sectioning,,20,long,,,,
1090,rx82,(ub);,not,digitized,rx82,20,long,ub,
1091,QY#HG#MR1s2#R#rx82#6160#20,rx82,20,long,tb,,,,
1092,QY#HG#MR1s2#R#afdx#86200#20,afdx,20,long,tb,,,,
1093,afdx,(ub);,not,digitized,afdx,20,long,ub,
1094,QY#HG#MR1s2#R#dpog#86180#20,dpog,20,long,tb,,,,
1095,lost,sectioning,,20,long,,,,
1096,lost,sectioning,,20,long,,,,
1097,dpog,(ub);,not,digitized,dpog,20,long,ub,
1098,myelin,stain,-,section,41,MS,20,long,
1099,QY#HG#MR1s2#R#dpmg#6184#20,dpmg,20,long,tb,,,,
1100,dpmg,(ub);,not,digitized,dpmg,20,long,ub,
1101,QY#HG#MR1s2#R#ly34#6204#20,ly34,20,long,tb,,,,
1102,spare;,in,freezer,,20,long,,,
1103,ly34,(ub);,not,digitized,ly34,20,long,ub,
1104,QY#HG#MR1s2#R#cpog#86172#20,cpog,20,long,tb,,,,
1105,lost,sectioning,,20,long,,,,
1106,cpog,(ub);,not,digitized,cpog,20,long,ub,
1107,QY#HG#MR1s2#R#cpmg#86176#20,cpmg,20,long,tb,,,,
1108,cpmg,(ub);,not,digitized,cpmg,20,long,ub,
1109,QY#HG#MR1s2#R#keta#6148#20,keta,20,long,tb,,,,
1110,keta,(ub);,not,digitized,keta,20,long,ub,
1111,QY#HG#MR1S2#R#pire#9517#20,pire,20,long,tb,,,,
1112,QY#HG#MR1S2#R#pire#9517#UB,pire,20,long,ub,,,,
1113,spare;,in,freezer,,20,long,,,
1114,damg;,not,digitized,,20,long,,,
1115,damg,(ub);,not,digitized,,20,long,,
1116,spare;,in,freezer,,20,long,,,
1117,spare;,in,freezer,,20,long,,,
1118,dpdp;,not,digitized,,20,long,,,
1119,spare;,in,freezer,,20,long,,,
1120,spare;,in,freezer,,20,long,,,
1121,dpdp,(ub);,not,digitized,,20,long,,
1122,spare;,in,freezer,,20,short,,,
1123,spare;,in,freezer,,20,short,,,
1124,spare;,in,freezer,,20,short,,,
1125,spare;,in,freezer,,20,short,,,
1126,spare;,in,freezer,,20,short,,,
1127,spare;,in,freezer,,20,short,,,
1128,spare;,in,freezer,,20,short,,,
1129,spare;,in,freezer,,20,short,,,
1130,spare;,in,freezer,,20,short,,,
1131,spare;,in,freezer,,20,short,,,
1132,spare;,in,freezer,,20,short,,,
1133,lost,sectioning,,20,short,,,,
1134,lost,sectioning,,20,short,,,,
1135,QY#HG#MR1s2#R#ampa#96120#21,ampa,21,short,tb,,,,
1136,lost,sectioning,,21,short,,,,
1137,lost,sectioning,,21,short,,,,
1138,lost,sectioning,,21,short,,,,
1139,QY#HG#MR1s2#R#kain#96124#21,kain,21,short,tb,,,,
1140,QY#HG#MR1s2#R#mk80#96128#21,mk80,21,short,tb,,,,
1141,lost,sectioning,,21,short,,,,
1142,lost,sectioning,,21,short,,,,
1143,lost,sectioning,,21,short,,,,
1144,lost,sectioning,,21,short,,,,
1145,lost,sectioning,,21,short,,,,
1146,QY#HG#MR1s2#R#musc#6132#21,musc,21,short,tb,,,,
1147,lost,sectioning,,21,short,,,,
1148,QY#HG#MR1s2#R#cgp5#96188#21,cgp5,21,short,tb,,,,
1149,QY#HG#MR1s2#R#flum#6192#21,flum,21,short,tb,,,,
1150,cell,body,stain,-,section,13,AG,21,short
1151,QY#HG#MR1s2#R#oxot#6140#21,oxot,21,short,tb,,,,
1152,lost,sectioning,,21,short,,,,
1153,QY#HG#MR1s2#R#damp#96196#21,damp,21,short,tb,,,,
1154,myelin,stain,-,section,20,MS,21,short,
1155,QY#HG#MR1s2#R#epib#6168#21,epib,21,short,tb,,,,
1156,QY#HG#MR1s2#R#praz#6152#21,praz,21,short,tb,,,,
1157,QY#HG#MR1s2#R#uk14#6156#21,uk14,21,short,tb,,,,
1158,fall;,not,digitized,,21,short,,,
1159,QY#HG#MR1s2#R#dpat#6144#21,dpat,21,short,tb,,,,
1160,QY#HG#MR1s2#R#sr95#6208#21,sr95,21,short,tb,,,,
1161,QY#HG#MR1s2#R#sch2#6164#21,sch2,21,short,tb,,,,
1162,cell,body,stain,-,section,32,AG,21,short
1163,QY#HG#MR1s2#R#rx82#6160#21,rx82,21,short,tb,,,,
1164,QY#HG#MR1s2#R#afdx#96200#21,afdx,21,short,tb,,,,
1165,QY#HG#MR1s2#R#dpog#96180#21,dpog,21,short,tb,,,,
1166,myelin,stain,-,section,41,MS,21,short,
1167,QY#HG#MR1s2#R#dpmg#6184#21,dpmg,21,short,tb,,,,
1168,QY#HG#MR1s2#R#ly34#6204#21,ly34,21,short,tb,,,,
1169,spare;,in,freezer,,21,short,,,
1170,QY#HG#MR1s2#R#cpog#96172#21,cpog,21,short,tb,,,,
1171,QY#HG#MR1s2#R#cpmg#96176#21,cpmg,21,short,tb,,,,
1172,QY#HG#MR1s2#R#keta#6148#21,keta,21,short,tb,,,,
1173,QY#HG#MR1S2#R#pire#9517#21,pire,21,short,tb,,,,
1174,damg;,not,digitized,,21,short,,,
1175,dpdp;,not,digitized,,21,short,,,
1176,spare;,in,freezer,,21,short,,,
1177,spare;,in,freezer,,22,short,,,
1178,spare;,in,freezer,,22,short,,,
1179,spare;,in,freezer,,22,short,,,
1180,spare;,in,freezer,,22,short,,,
1181,spare;,in,freezer,,22,short,,,
1182,spare;,in,freezer,,22,short,,,
1183,spare;,in,freezer,,22,short,,,
1184,lost,sectioning,,22,short,,,,
1185,lost,sectioning,,22,short,,,,
1186,QY#HG#MR1s2#R#ampa#96120#22,ampa,22,short,tb,,,,
1187,lost,sectioning,,22,short,,,,
1188,lost,sectioning,,22,short,,,,
1189,lost,sectioning,,22,short,,,,
1190,QY#HG#MR1s2#R#kain#96124#22,kain,22,short,tb,,,,
1191,QY#HG#MR1s2#R#mk80#96128#22,mk80,22,short,tb,,,,
1192,QY#HG#MR1s2#R#musc#6132#22,musc,22,short,tb,,,,
1193,QY#HG#MR1s2#R#cgp5#96188#22,cgp5,22,short,tb,,,,
1194,QY#HG#MR1s2#R#flum#6192#22,flum,22,short,tb,,,,
1195,cell,body,stain,-,section,13,AG,22,short
1196,QY#HG#MR1s2#R#oxot#6140#22,oxot,22,short,tb,,,,
1197,lost,sectioning,,22,short,,,,
1198,QY#HG#MR1s2#R#damp#96196#22,damp,22,short,tb,,,,
1199,myelin,stain,-,section,20,MS,22,short,
1200,QY#HG#MR1s2#R#epib#6168#22,epib,22,short,tb,,,,
1201,QY#HG#MR1s2#R#praz#6152#22,praz,22,short,tb,,,,
1202,QY#HG#MR1s2#R#uk14#6156#22,uk14,22,short,tb,,,,
1203,lost,sectioning,,22,short,,,,
1204,lost,sectioning,,22,short,,,,
1205,lost,sectioning,,22,short,,,,
1206,fall;,not,digitized,,22,short,,,
